Gene stable ID,Goat gene stable ID,Goat homology type
ENSOARG00000003232,ENSCHIG00000022211,ortholog_one2one
ENSOARG00000003311,ENSCHIG00000021140,ortholog_one2one
ENSOARG00000003351,ENSCHIG00000022197,ortholog_one2one
ENSOARG00000003400,ENSCHIG00000023081,ortholog_one2one
ENSOARG00000003470,ENSCHIG00000027020,ortholog_one2one
ENSOARG00000003540,ENSCHIG00000019326,ortholog_one2one
ENSOARG00000003547,ENSCHIG00000010139,ortholog_one2one
ENSOARG00000003548,ENSCHIG00000009363,ortholog_one2one
ENSOARG00000003661,ENSCHIG00000020737,ortholog_one2one
ENSOARG00000003666,ENSCHIG00000025369,ortholog_one2one
ENSOARG00000003672,ENSCHIG00000025563,ortholog_one2one
ENSOARG00000003685,ENSCHIG00000016611,ortholog_one2one
ENSOARG00000003781,ENSCHIG00000011121,ortholog_one2one
ENSOARG00000003825,ENSCHIG00000025773,ortholog_one2one
ENSOARG00000003843,ENSCHIG00000016660,ortholog_one2one
ENSOARG00000003850,ENSCHIG00000026096,ortholog_one2one
ENSOARG00000003859,ENSCHIG00000025978,ortholog_one2one
ENSOARG00000003880,ENSCHIG00000025689,ortholog_one2one
ENSOARG00000003928,ENSCHIG00000017334,ortholog_one2one
ENSOARG00000003986,ENSCHIG00000014634,ortholog_one2one
ENSOARG00000004019,ENSCHIG00000015919,ortholog_one2one
ENSOARG00000004020,ENSCHIG00000019380,ortholog_one2many
ENSOARG00000004064,ENSCHIG00000020489,ortholog_one2one
ENSOARG00000004116,ENSCHIG00000020496,ortholog_one2one
ENSOARG00000004128,ENSCHIG00000022691,ortholog_one2one
ENSOARG00000004131,ENSCHIG00000009311,ortholog_one2one
ENSOARG00000004166,ENSCHIG00000027058,ortholog_one2one
ENSOARG00000004213,ENSCHIG00000015900,ortholog_one2one
ENSOARG00000004293,ENSCHIG00000020403,ortholog_one2one
ENSOARG00000004383,ENSCHIG00000026668,ortholog_one2one
ENSOARG00000004386,ENSCHIG00000008580,ortholog_one2one
ENSOARG00000004401,ENSCHIG00000023008,ortholog_one2one
ENSOARG00000004410,ENSCHIG00000015799,ortholog_one2one
ENSOARG00000004420,ENSCHIG00000004703,ortholog_one2one
ENSOARG00000004432,ENSCHIG00000012246,ortholog_one2one
ENSOARG00000004443,ENSCHIG00000006921,ortholog_one2one
ENSOARG00000004445,ENSCHIG00000007998,ortholog_one2one
ENSOARG00000004447,ENSCHIG00000015639,ortholog_one2one
ENSOARG00000004487,ENSCHIG00000015771,ortholog_one2one
ENSOARG00000004506,ENSCHIG00000011814,ortholog_one2one
ENSOARG00000004516,ENSCHIG00000011900,ortholog_one2one
ENSOARG00000004534,ENSCHIG00000012484,ortholog_one2one
ENSOARG00000004547,ENSCHIG00000020857,ortholog_one2one
ENSOARG00000004560,ENSCHIG00000023018,ortholog_one2one
ENSOARG00000004578,ENSCHIG00000025759,ortholog_one2one
ENSOARG00000004580,ENSCHIG00000007792,ortholog_one2one
ENSOARG00000004587,ENSCHIG00000017546,ortholog_one2one
ENSOARG00000004595,ENSCHIG00000017609,ortholog_one2one
ENSOARG00000004596,ENSCHIG00000024641,ortholog_one2many
ENSOARG00000004596,ENSCHIG00000015351,ortholog_one2many
ENSOARG00000004609,ENSCHIG00000009932,ortholog_one2one
ENSOARG00000004621,ENSCHIG00000007165,ortholog_one2one
ENSOARG00000004635,ENSCHIG00000021551,ortholog_one2one
ENSOARG00000004650,ENSCHIG00000024222,ortholog_one2one
ENSOARG00000004668,ENSCHIG00000014184,ortholog_one2one
ENSOARG00000004683,ENSCHIG00000010610,ortholog_one2one
ENSOARG00000004690,ENSCHIG00000006391,ortholog_one2one
ENSOARG00000004723,ENSCHIG00000010945,ortholog_one2one
ENSOARG00000004730,ENSCHIG00000003232,ortholog_one2one
ENSOARG00000004739,ENSCHIG00000018768,ortholog_one2many
ENSOARG00000004757,ENSCHIG00000003852,ortholog_one2one
ENSOARG00000004777,ENSCHIG00000011525,ortholog_one2one
ENSOARG00000004792,ENSCHIG00000012459,ortholog_one2one
ENSOARG00000004809,ENSCHIG00000004449,ortholog_one2one
ENSOARG00000004821,ENSCHIG00000017367,ortholog_one2one
ENSOARG00000004825,ENSCHIG00000003245,ortholog_one2one
ENSOARG00000004832,ENSCHIG00000013961,ortholog_one2one
ENSOARG00000004862,ENSCHIG00000021003,ortholog_one2one
ENSOARG00000004876,ENSCHIG00000025252,ortholog_one2one
ENSOARG00000004899,ENSCHIG00000019424,ortholog_one2one
ENSOARG00000004911,ENSCHIG00000000818,ortholog_one2one
ENSOARG00000004951,ENSCHIG00000025250,ortholog_one2one
ENSOARG00000004955,ENSCHIG00000017604,ortholog_one2one
ENSOARG00000004969,ENSCHIG00000012213,ortholog_one2one
ENSOARG00000004980,ENSCHIG00000016290,ortholog_one2one
ENSOARG00000004986,ENSCHIG00000011407,ortholog_one2many
ENSOARG00000005070,ENSCHIG00000013879,ortholog_one2one
ENSOARG00000005105,ENSCHIG00000011922,ortholog_one2one
ENSOARG00000005117,ENSCHIG00000010975,ortholog_one2one
ENSOARG00000005169,ENSCHIG00000009092,ortholog_one2one
ENSOARG00000005172,ENSCHIG00000026140,ortholog_one2one
ENSOARG00000005206,ENSCHIG00000017855,ortholog_one2one
ENSOARG00000005209,ENSCHIG00000018365,ortholog_one2one
ENSOARG00000005212,ENSCHIG00000014175,ortholog_one2one
ENSOARG00000005226,ENSCHIG00000011213,ortholog_one2one
ENSOARG00000005229,ENSCHIG00000010418,ortholog_one2many
ENSOARG00000005229,ENSCHIG00000004238,ortholog_one2many
ENSOARG00000005257,ENSCHIG00000008882,ortholog_one2one
ENSOARG00000005277,ENSCHIG00000020894,ortholog_one2one
ENSOARG00000005348,ENSCHIG00000015270,ortholog_one2one
ENSOARG00000005354,ENSCHIG00000009506,ortholog_one2one
ENSOARG00000005364,ENSCHIG00000010435,ortholog_one2one
ENSOARG00000005370,ENSCHIG00000024772,ortholog_one2one
ENSOARG00000005416,ENSCHIG00000021952,ortholog_one2one
ENSOARG00000005422,ENSCHIG00000017333,ortholog_one2one
ENSOARG00000005426,ENSCHIG00000013030,ortholog_one2one
ENSOARG00000005472,ENSCHIG00000011946,ortholog_one2one
ENSOARG00000005474,ENSCHIG00000020249,ortholog_one2one
ENSOARG00000005486,ENSCHIG00000020800,ortholog_one2one
ENSOARG00000005497,ENSCHIG00000021336,ortholog_one2one
ENSOARG00000005534,ENSCHIG00000010060,ortholog_one2one
ENSOARG00000005580,ENSCHIG00000027110,ortholog_one2one
ENSOARG00000005586,ENSCHIG00000022569,ortholog_one2one
ENSOARG00000005622,ENSCHIG00000002437,ortholog_one2one
ENSOARG00000005624,ENSCHIG00000026759,ortholog_one2one
ENSOARG00000005662,ENSCHIG00000016875,ortholog_one2one
ENSOARG00000005666,ENSCHIG00000021212,ortholog_one2one
ENSOARG00000005686,ENSCHIG00000021813,ortholog_one2one
ENSOARG00000005740,ENSCHIG00000019460,ortholog_one2one
ENSOARG00000005804,ENSCHIG00000006706,ortholog_one2one
ENSOARG00000005815,ENSCHIG00000023551,ortholog_one2one
ENSOARG00000005873,ENSCHIG00000024303,ortholog_one2one
ENSOARG00000005877,ENSCHIG00000018837,ortholog_one2one
ENSOARG00000005887,ENSCHIG00000025340,ortholog_one2one
ENSOARG00000005898,ENSCHIG00000027098,ortholog_one2one
ENSOARG00000005914,ENSCHIG00000010822,ortholog_one2one
ENSOARG00000005935,ENSCHIG00000003642,ortholog_one2one
ENSOARG00000005967,ENSCHIG00000010850,ortholog_one2one
ENSOARG00000005970,ENSCHIG00000024446,ortholog_one2one
ENSOARG00000005983,ENSCHIG00000025947,ortholog_one2one
ENSOARG00000005988,ENSCHIG00000015953,ortholog_one2one
ENSOARG00000006014,ENSCHIG00000022735,ortholog_one2one
ENSOARG00000006082,ENSCHIG00000021829,ortholog_one2one
ENSOARG00000006087,ENSCHIG00000025619,ortholog_one2one
ENSOARG00000006096,ENSCHIG00000023883,ortholog_one2one
ENSOARG00000006107,ENSCHIG00000024806,ortholog_one2one
ENSOARG00000006141,ENSCHIG00000009930,ortholog_one2one
ENSOARG00000006146,ENSCHIG00000022173,ortholog_one2one
ENSOARG00000006190,ENSCHIG00000015007,ortholog_one2one
ENSOARG00000006202,ENSCHIG00000009090,ortholog_one2one
ENSOARG00000006243,ENSCHIG00000000499,ortholog_one2one
ENSOARG00000006248,ENSCHIG00000020378,ortholog_one2one
ENSOARG00000006272,ENSCHIG00000009057,ortholog_one2one
ENSOARG00000006282,ENSCHIG00000015666,ortholog_one2one
ENSOARG00000006310,ENSCHIG00000019494,ortholog_one2one
ENSOARG00000006327,ENSCHIG00000021898,ortholog_one2one
ENSOARG00000006341,ENSCHIG00000011555,ortholog_one2one
ENSOARG00000006347,ENSCHIG00000023238,ortholog_one2one
ENSOARG00000006381,ENSCHIG00000014390,ortholog_one2one
ENSOARG00000006469,ENSCHIG00000021482,ortholog_one2many
ENSOARG00000006470,ENSCHIG00000023450,ortholog_one2one
ENSOARG00000006484,ENSCHIG00000013115,ortholog_one2one
ENSOARG00000006514,ENSCHIG00000011717,ortholog_one2one
ENSOARG00000006520,ENSCHIG00000016162,ortholog_one2one
ENSOARG00000006566,ENSCHIG00000010571,ortholog_one2one
ENSOARG00000006624,ENSCHIG00000021744,ortholog_one2one
ENSOARG00000006662,ENSCHIG00000020430,ortholog_one2one
ENSOARG00000006668,ENSCHIG00000019106,ortholog_one2one
ENSOARG00000006706,ENSCHIG00000026212,ortholog_one2one
ENSOARG00000006740,ENSCHIG00000025449,ortholog_one2one
ENSOARG00000006796,ENSCHIG00000024834,ortholog_one2one
ENSOARG00000006799,ENSCHIG00000017449,ortholog_one2one
ENSOARG00000006835,ENSCHIG00000021073,ortholog_one2one
ENSOARG00000006868,ENSCHIG00000018636,ortholog_one2one
ENSOARG00000006873,ENSCHIG00000025305,ortholog_one2one
ENSOARG00000006885,ENSCHIG00000023384,ortholog_one2one
ENSOARG00000006926,ENSCHIG00000022900,ortholog_one2one
ENSOARG00000006927,ENSCHIG00000019216,ortholog_one2one
ENSOARG00000006937,ENSCHIG00000013273,ortholog_one2one
ENSOARG00000006959,ENSCHIG00000017212,ortholog_one2one
ENSOARG00000006969,ENSCHIG00000021722,ortholog_one2one
ENSOARG00000006985,ENSCHIG00000024206,ortholog_one2one
ENSOARG00000007085,ENSCHIG00000022952,ortholog_one2one
ENSOARG00000007100,ENSCHIG00000027237,ortholog_one2one
ENSOARG00000007141,ENSCHIG00000021164,ortholog_one2one
ENSOARG00000007168,ENSCHIG00000025986,ortholog_one2one
ENSOARG00000007192,ENSCHIG00000006775,ortholog_one2one
ENSOARG00000007289,ENSCHIG00000012450,ortholog_one2one
ENSOARG00000007354,ENSCHIG00000016252,ortholog_one2one
ENSOARG00000007369,ENSCHIG00000018302,ortholog_one2many
ENSOARG00000007369,ENSCHIG00000020944,ortholog_one2many
ENSOARG00000007408,ENSCHIG00000010762,ortholog_one2one
ENSOARG00000007425,ENSCHIG00000012593,ortholog_one2many
ENSOARG00000007434,ENSCHIG00000024419,ortholog_one2one
ENSOARG00000007550,ENSCHIG00000021501,ortholog_one2one
ENSOARG00000007566,ENSCHIG00000026048,ortholog_one2one
ENSOARG00000007600,ENSCHIG00000024563,ortholog_one2one
ENSOARG00000007601,ENSCHIG00000015648,ortholog_one2one
ENSOARG00000007634,ENSCHIG00000014141,ortholog_one2one
ENSOARG00000007681,ENSCHIG00000022148,ortholog_one2one
ENSOARG00000007717,ENSCHIG00000010491,ortholog_one2one
ENSOARG00000007810,ENSCHIG00000013205,ortholog_one2one
ENSOARG00000007820,ENSCHIG00000021538,ortholog_one2one
ENSOARG00000007828,ENSCHIG00000026424,ortholog_one2one
ENSOARG00000007835,ENSCHIG00000018877,ortholog_one2one
ENSOARG00000007908,ENSCHIG00000016983,ortholog_one2one
ENSOARG00000007923,ENSCHIG00000023426,ortholog_one2one
ENSOARG00000007966,ENSCHIG00000000961,ortholog_one2one
ENSOARG00000008019,ENSCHIG00000017557,ortholog_one2one
ENSOARG00000008032,ENSCHIG00000017263,ortholog_one2one
ENSOARG00000008065,ENSCHIG00000017042,ortholog_one2one
ENSOARG00000008098,ENSCHIG00000026283,ortholog_one2one
ENSOARG00000008141,ENSCHIG00000024097,ortholog_one2one
ENSOARG00000008187,ENSCHIG00000008876,ortholog_one2one
ENSOARG00000008258,ENSCHIG00000004921,ortholog_one2one
ENSOARG00000008282,ENSCHIG00000020230,ortholog_one2one
ENSOARG00000008288,ENSCHIG00000024415,ortholog_one2one
ENSOARG00000008366,ENSCHIG00000014086,ortholog_one2one
ENSOARG00000008369,ENSCHIG00000024296,ortholog_one2one
ENSOARG00000008389,ENSCHIG00000017512,ortholog_one2one
ENSOARG00000008436,ENSCHIG00000016703,ortholog_one2one
ENSOARG00000008515,ENSCHIG00000024263,ortholog_one2one
ENSOARG00000008519,ENSCHIG00000018764,ortholog_one2one
ENSOARG00000008548,ENSCHIG00000015683,ortholog_one2one
ENSOARG00000008587,ENSCHIG00000019935,ortholog_one2one
ENSOARG00000008685,ENSCHIG00000013307,ortholog_one2one
ENSOARG00000008687,ENSCHIG00000018677,ortholog_one2one
ENSOARG00000008700,ENSCHIG00000022650,ortholog_one2one
ENSOARG00000008776,ENSCHIG00000018187,ortholog_one2one
ENSOARG00000008810,ENSCHIG00000011745,ortholog_one2one
ENSOARG00000008824,ENSCHIG00000012167,ortholog_one2one
ENSOARG00000008841,ENSCHIG00000015320,ortholog_one2one
ENSOARG00000008884,ENSCHIG00000022122,ortholog_one2one
ENSOARG00000008885,ENSCHIG00000004441,ortholog_one2one
ENSOARG00000008917,ENSCHIG00000016506,ortholog_one2one
ENSOARG00000008956,ENSCHIG00000020557,ortholog_one2one
ENSOARG00000008957,ENSCHIG00000026609,ortholog_one2one
ENSOARG00000008963,ENSCHIG00000002557,ortholog_one2one
ENSOARG00000008980,ENSCHIG00000008791,ortholog_one2one
ENSOARG00000009022,ENSCHIG00000019244,ortholog_one2one
ENSOARG00000009068,ENSCHIG00000015471,ortholog_one2one
ENSOARG00000009082,ENSCHIG00000024727,ortholog_one2one
ENSOARG00000009127,ENSCHIG00000019472,ortholog_one2one
ENSOARG00000009156,ENSCHIG00000026217,ortholog_one2many
ENSOARG00000009156,ENSCHIG00000011635,ortholog_one2many
ENSOARG00000009171,ENSCHIG00000026317,ortholog_one2one
ENSOARG00000009195,ENSCHIG00000018100,ortholog_one2one
ENSOARG00000009200,ENSCHIG00000000977,ortholog_one2one
ENSOARG00000009259,ENSCHIG00000019247,ortholog_one2one
ENSOARG00000009276,ENSCHIG00000010780,ortholog_one2one
ENSOARG00000009277,ENSCHIG00000017096,ortholog_one2one
ENSOARG00000009308,ENSCHIG00000014323,ortholog_one2many
ENSOARG00000009354,ENSCHIG00000026741,ortholog_one2one
ENSOARG00000009419,ENSCHIG00000025440,ortholog_one2one
ENSOARG00000009483,ENSCHIG00000014323,ortholog_one2many
ENSOARG00000009536,ENSCHIG00000023493,ortholog_one2one
ENSOARG00000009543,ENSCHIG00000015194,ortholog_one2one
ENSOARG00000009642,ENSCHIG00000015607,ortholog_one2many
ENSOARG00000009642,ENSCHIG00000026316,ortholog_one2many
ENSOARG00000009713,ENSCHIG00000026568,ortholog_one2many
ENSOARG00000009713,ENSCHIG00000007163,ortholog_one2many
ENSOARG00000009759,ENSCHIG00000013191,ortholog_one2one
ENSOARG00000009762,ENSCHIG00000011337,ortholog_one2one
ENSOARG00000009777,ENSCHIG00000021142,ortholog_one2one
ENSOARG00000009818,ENSCHIG00000017865,ortholog_one2one
ENSOARG00000009892,ENSCHIG00000002136,ortholog_one2one
ENSOARG00000009902,ENSCHIG00000013231,ortholog_one2one
ENSOARG00000009948,ENSCHIG00000027256,ortholog_one2one
ENSOARG00000009955,ENSCHIG00000019577,ortholog_one2one
ENSOARG00000009960,ENSCHIG00000020573,ortholog_one2one
ENSOARG00000009982,ENSCHIG00000017947,ortholog_one2one
ENSOARG00000009989,ENSCHIG00000022203,ortholog_one2one
ENSOARG00000010028,ENSCHIG00000012276,ortholog_one2one
ENSOARG00000010080,ENSCHIG00000014461,ortholog_one2one
ENSOARG00000010085,ENSCHIG00000008037,ortholog_one2many
ENSOARG00000010095,ENSCHIG00000024810,ortholog_one2one
ENSOARG00000010128,ENSCHIG00000026209,ortholog_one2one
ENSOARG00000010152,ENSCHIG00000006499,ortholog_one2one
ENSOARG00000010188,ENSCHIG00000010007,ortholog_one2one
ENSOARG00000010268,ENSCHIG00000020293,ortholog_one2one
ENSOARG00000010297,ENSCHIG00000012729,ortholog_one2one
ENSOARG00000010303,ENSCHIG00000025399,ortholog_one2one
ENSOARG00000010317,ENSCHIG00000024293,ortholog_one2one
ENSOARG00000010322,ENSCHIG00000023828,ortholog_one2one
ENSOARG00000010365,ENSCHIG00000016934,ortholog_one2one
ENSOARG00000010368,ENSCHIG00000014098,ortholog_one2one
ENSOARG00000010370,ENSCHIG00000013158,ortholog_one2one
ENSOARG00000010514,ENSCHIG00000023150,ortholog_one2one
ENSOARG00000010523,ENSCHIG00000020996,ortholog_one2one
ENSOARG00000010543,ENSCHIG00000014845,ortholog_one2one
ENSOARG00000010555,ENSCHIG00000025919,ortholog_one2one
ENSOARG00000010577,ENSCHIG00000013258,ortholog_one2one
ENSOARG00000010596,ENSCHIG00000010276,ortholog_one2one
ENSOARG00000010661,ENSCHIG00000015228,ortholog_one2one
ENSOARG00000010686,ENSCHIG00000010688,ortholog_one2one
ENSOARG00000010780,ENSCHIG00000014015,ortholog_one2one
ENSOARG00000010787,ENSCHIG00000023954,ortholog_one2one
ENSOARG00000010789,ENSCHIG00000014908,ortholog_one2one
ENSOARG00000010860,ENSCHIG00000026043,ortholog_one2one
ENSOARG00000010864,ENSCHIG00000007941,ortholog_one2one
ENSOARG00000010907,ENSCHIG00000021985,ortholog_one2one
ENSOARG00000010950,ENSCHIG00000025310,ortholog_one2one
ENSOARG00000010993,ENSCHIG00000011776,ortholog_one2one
ENSOARG00000010995,ENSCHIG00000016840,ortholog_one2many
ENSOARG00000011036,ENSCHIG00000024257,ortholog_one2one
ENSOARG00000011052,ENSCHIG00000016589,ortholog_one2one
ENSOARG00000011087,ENSCHIG00000012227,ortholog_one2one
ENSOARG00000011090,ENSCHIG00000017788,ortholog_one2one
ENSOARG00000011107,ENSCHIG00000011199,ortholog_one2one
ENSOARG00000011158,ENSCHIG00000021188,ortholog_one2one
ENSOARG00000011188,ENSCHIG00000018193,ortholog_one2one
ENSOARG00000011195,ENSCHIG00000023125,ortholog_one2one
ENSOARG00000011254,ENSCHIG00000019544,ortholog_one2one
ENSOARG00000011328,ENSCHIG00000020459,ortholog_one2one
ENSOARG00000011349,ENSCHIG00000023890,ortholog_one2one
ENSOARG00000011406,ENSCHIG00000027204,ortholog_one2one
ENSOARG00000011461,ENSCHIG00000015578,ortholog_one2one
ENSOARG00000011490,ENSCHIG00000021527,ortholog_one2one
ENSOARG00000011498,ENSCHIG00000026819,ortholog_one2one
ENSOARG00000011555,ENSCHIG00000012514,ortholog_one2one
ENSOARG00000011587,ENSCHIG00000026086,ortholog_one2one
ENSOARG00000011588,ENSCHIG00000021634,ortholog_one2one
ENSOARG00000011613,ENSCHIG00000019039,ortholog_one2one
ENSOARG00000011639,ENSCHIG00000026494,ortholog_one2one
ENSOARG00000011645,ENSCHIG00000004568,ortholog_one2one
ENSOARG00000011663,ENSCHIG00000011701,ortholog_one2many
ENSOARG00000011663,ENSCHIG00000016878,ortholog_one2many
ENSOARG00000011695,ENSCHIG00000020184,ortholog_one2one
ENSOARG00000011778,ENSCHIG00000002738,ortholog_one2one
ENSOARG00000011782,ENSCHIG00000021766,ortholog_one2one
ENSOARG00000011816,ENSCHIG00000023483,ortholog_one2one
ENSOARG00000011854,ENSCHIG00000010223,ortholog_one2one
ENSOARG00000011857,ENSCHIG00000005111,ortholog_one2one
ENSOARG00000011917,ENSCHIG00000010423,ortholog_one2one
ENSOARG00000011939,ENSCHIG00000021754,ortholog_one2one
ENSOARG00000012013,ENSCHIG00000012983,ortholog_one2one
ENSOARG00000012031,ENSCHIG00000016579,ortholog_one2one
ENSOARG00000012065,ENSCHIG00000019060,ortholog_one2one
ENSOARG00000012168,ENSCHIG00000022644,ortholog_one2one
ENSOARG00000012174,ENSCHIG00000011324,ortholog_one2one
ENSOARG00000012176,ENSCHIG00000023775,ortholog_one2one
ENSOARG00000012196,ENSCHIG00000021123,ortholog_one2one
ENSOARG00000012204,ENSCHIG00000001799,ortholog_one2one
ENSOARG00000012223,ENSCHIG00000009056,ortholog_one2one
ENSOARG00000012242,ENSCHIG00000020912,ortholog_one2one
ENSOARG00000012268,ENSCHIG00000021881,ortholog_one2one
ENSOARG00000012269,ENSCHIG00000012942,ortholog_one2one
ENSOARG00000012305,ENSCHIG00000011994,ortholog_one2one
ENSOARG00000012345,ENSCHIG00000007753,ortholog_one2one
ENSOARG00000012415,ENSCHIG00000020689,ortholog_one2one
ENSOARG00000012471,ENSCHIG00000012502,ortholog_one2one
ENSOARG00000012476,ENSCHIG00000025612,ortholog_one2one
ENSOARG00000012500,ENSCHIG00000018393,ortholog_one2one
ENSOARG00000012514,ENSCHIG00000014569,ortholog_one2many
ENSOARG00000012514,ENSCHIG00000003469,ortholog_one2many
ENSOARG00000012536,ENSCHIG00000026526,ortholog_one2many
ENSOARG00000012555,ENSCHIG00000026075,ortholog_one2one
ENSOARG00000012593,ENSCHIG00000025849,ortholog_one2one
ENSOARG00000012605,ENSCHIG00000016303,ortholog_one2one
ENSOARG00000012621,ENSCHIG00000020363,ortholog_one2one
ENSOARG00000012674,ENSCHIG00000024612,ortholog_one2one
ENSOARG00000012680,ENSCHIG00000015988,ortholog_one2one
ENSOARG00000012715,ENSCHIG00000011304,ortholog_one2one
ENSOARG00000012728,ENSCHIG00000014469,ortholog_one2one
ENSOARG00000012747,ENSCHIG00000003143,ortholog_one2one
ENSOARG00000012767,ENSCHIG00000024256,ortholog_one2one
ENSOARG00000012768,ENSCHIG00000012562,ortholog_one2one
ENSOARG00000012845,ENSCHIG00000017253,ortholog_one2one
ENSOARG00000012860,ENSCHIG00000009532,ortholog_one2one
ENSOARG00000012876,ENSCHIG00000025293,ortholog_one2one
